,no.,name,nationality,pos,age,ht,wt,hand,exp,salary
1,27,Adam Boqvist,SWE,D,19,71,179,R,0.5,925000
2,91,Drake Caggiula,CAN,F,25,70,176,L,3,1500000
3,46-47,Lucas Carlsson,SWE,D,22,72,189,L,0.5,792500
4,22,Ryan Carpenter,USA,F,29,72,200,R,4,1000000
6,77,Kirby Dach,CAN,F,19,76,197,R,0.5,925000
7,12,Alex DeBrincat,USA,F,22,67,165,R,2,800000
8,38,Brandon Hagel,CAN,F,21,71,174,L,0.5,925000
9,36,Matthew Highmore,CAN,F,23,71,188,L,1,817500
10,64,David Kampf,CZE,F,25,74,188,L,2,1000000
11,88,Patrick Kane,USA,F,31,70,177,L,12,9800000
12,2,Duncan Keith,CAN,D,36,73,192,L,14,3500000
13,68,Slater Koekkoek,CAN,D,25,74,193,L,5,925000
14,8,Dominik Kubalik,CZE,F,24,74,179,L,0.5,925000
15,6,Olli Maatta,FIN,D,25,74,206,L,6,4083300
16,5,Connor Murphy,USA,D,26,76,212,R,6,4400000
17,92,Alexander Nylander,CAN,F,21,73,192,R,3,832500
18,20,Brandon Saad,USA,F,27,73,206,L,8,6750000
19,55,Nick Seeler,USA,D,26,74,198,L,2,750000
20,15,Zack Smith,CAN,F,31,74,208,L,11,3250000
21,17,Dylan Strome,CAN,F,22,75,200,L,3,832500
23,19,Jonathan Toews (C),CAN,F,31,74,201,L,12,9800000
